name,createdAt,tick,leftPoint,rightPoint,angleOfVector,lengthOfVector,differenceX,differenceY,meanX,meanY
eye,1580312723333,419,"{""x"":97.16334953134776,""y"":121.40732499753685}","{""x"":136.38061651914694,""y"":126.17661743277256}",6.933808770947239,39.50620432698034,39.21726698779918,4.7692924352357124,116.77198302524735,123.7919712151547
eye,1580312723419,420,"{""x"":97.52555498869907,""y"":121.1700490844002}","{""x"":137.46381361194466,""y"":126.53086542870949}",7.644979817735853,40.29643723376378,39.93825862324559,5.360816344309285,117.49468430032186,123.85045725655485
eye,1580312723504,421,"{""x"":98.72390112201256,""y"":121.79095686507861}","{""x"":139.09645019157705,""y"":125.63389960948365}",5.437432078962996,40.555035782392885,40.372549069564485,3.842942744405036,118.9101756567948,123.71242823728113
eye,1580312723592,422,"{""x"":98.59975318155233,""y"":122.12361956633163}","{""x"":139.45194385172,""y"":125.93452593976028}",5.329427068539866,41.029556297122845,40.85219067016766,3.810906373428651,119.02584851663616,124.02907275304595
eye,1580312723678,423,"{""x"":99.11437271221456,""y"":122.20690400664105}","{""x"":139.6952595512662,""y"":126.1041150531712}",5.485613262210959,40.76759289662698,40.58088683905163,3.8972110465301455,119.40481613174038,124.15550952990613
eye,1580312723768,424,"{""x"":98.31898201909195,""y"":122.05132429536087}","{""x"":139.93267950035346,""y"":126.26019124107472}",5.775334774787388,41.826001231634294,41.61369748126151,4.208866945713851,119.1258307597227,124.1557577682178
eye,1580312723847,425,"{""x"":98.32180134337452,""y"":120.8080120030072}","{""x"":139.77196642906802,""y"":125.85221863358947}",6.9383948587441155,41.755960127426775,41.4501650856935,5.044206630582266,119.04688388622127,123.33011531829834
eye,1580312723930,426,"{""x"":98.16998822602392,""y"":120.5479390515064}","{""x"":139.87029364696244,""y"":125.69451989193698}",7.0357685879405665,42.01669628310443,41.70030542093852,5.146580840430573,119.02014093649318,123.12122947172169
eye,1580312724014,427,"{""x"":98.74691538145706,""y"":120.74489765563422}","{""x"":139.8408265425119,""y"":125.94917905790516}",7.217720829603068,41.42214479510557,41.09391116105485,5.2042814022709365,119.29387096198448,123.34703835676969
eye,1580312724105,428,"{""x"":99.2955425524924,""y"":118.15083358266585}","{""x"":141.70382399233586,""y"":125.31967468714501}",9.594768602887934,43.00993626433594,42.40828143984345,7.1688411044791565,120.49968327241413,121.73525413490543
eye,1580312724197,429,"{""x"":100.82197129832531,""y"":117.412910642539}","{""x"":143.5424279445003,""y"":124.43996045709716}",9.340886622164545,43.294535973422775,42.720456646174995,7.027049814558154,122.1821996214128,120.92643554981808
eye,1580312724295,430,"{""x"":102.13160951908691,""y"":116.23409358400971}","{""x"":144.72891775542976,""y"":123.3897892530311}",9.535782701942201,43.19415063975276,42.597308236342855,7.155695669021384,123.43026363725834,119.8119414185204
eye,1580312724386,431,"{""x"":104.65239761420457,""y"":115.59731923790997}","{""x"":146.49098539184394,""y"":123.2148751844638}",10.318817928499298,42.526398693354125,41.83858777763936,7.617555946553836,125.57169150302425,119.40609721118689
eye,1580312724467,432,"{""x"":107.89538602093208,""y"":117.15152154124453}","{""x"":152.0948759710046,""y"":121.89289276394715}",6.1228233620257555,44.45307090537204,44.19948995007252,4.741371222702611,129.99513099596834,119.52220715259584
eye,1580312724561,433,"{""x"":112.67428791593727,""y"":114.71053800384792}","{""x"":160.30431367169504,""y"":118.52189875073532}",4.5750671608302005,47.782275209925515,47.63002575575777,3.8113607468874022,136.48930079381614,116.61621837729162
eye,1580312724717,434,"{""x"":123.60570122155664,""y"":112.59922124158027}","{""x"":168.7641552704378,""y"":114.5117042269834}",2.425055615933424,45.19893320925139,45.15845404888117,1.9124829854031304,146.18492824599724,113.55546273428183
eye,1580312724850,435,"{""x"":133.9895281395502,""y"":107.06280844713885}","{""x"":181.41253979411255,""y"":111.80431279372036}",5.709639962894665,47.65945759088543,47.423011654562345,4.741504346581507,157.70103396683137,109.4335606204296
eye,1580312724993,436,"{""x"":143.73234434509845,""y"":106.24658870980011}","{""x"":189.2499230268801,""y"":112.16441840764676}",7.40758609435653,45.90066096893268,45.51757868178166,5.917829697846656,166.49113368598927,109.20550355872344
eye,1580312725133,437,"{""x"":149.28613642415237,""y"":104.73359615654195}","{""x"":195.38388404370636,""y"":110.95701775706485}",7.688723241192173,46.51594685711503,46.097747619553985,6.223421600522897,172.33501023392938,107.8453069568034
eye,1580312725268,438,"{""x"":154.7164751867866,""y"":102.89824181848181}","{""x"":199.01475317258863,""y"":111.01704725667346}",10.38567244051889,45.03612365924273,44.29827798580203,8.118805438191657,176.8656141796876,106.95764453757764
eye,1580312725420,439,"{""x"":156.66468486729292,""y"":102.4650649911218}","{""x"":201.01048290269665,""y"":111.280070106778}",11.242638976099098,45.21342852058293,44.34579803540373,8.815005115656191,178.83758388499479,106.8725675489499
eye,1580312725555,440,"{""x"":159.18689108743865,""y"":101.775555336157}","{""x"":203.12714322030723,""y"":112.044109542575}",13.15359484858672,45.12415055145312,43.94025213286858,10.268554206418003,181.15701715387294,106.909832439366
eye,1580312725645,441,"{""x"":161.29930976979458,""y"":100.25740380669205}","{""x"":204.48554683934333,""y"":109.07006538232639}",11.53353014419966,44.07623028656068,43.18623706954875,8.812661575634337,182.89242830456897,104.66373459450922
eye,1580312725751,442,"{""x"":161.62965949565086,""y"":100.08773632785332}","{""x"":204.81248872145702,""y"":108.98240148278302}",11.638830585939289,44.089361621183166,43.18282922580616,8.894665154929697,183.22107410855392,104.53506890531817
eye,1580312725857,443,"{""x"":162.25530330434398,""y"":100.05467536541403}","{""x"":205.40228459106356,""y"":108.72359381655909}",11.360387369736287,44.00922791039548,43.14698128671958,8.66891845114506,183.8287939477038,104.38913459098656
eye,1580312725939,444,"{""x"":162.65263869005426,""y"":100.03820597028874}","{""x"":205.95992707215714,""y"":108.5406825804215}",11.107547342231078,44.13403828697843,43.30728838210288,8.50247661013276,184.3062828811057,104.28944427535512
eye,1580312726082,445,"{""x"":162.36571261260207,""y"":99.97292416173556}","{""x"":206.0443093939422,""y"":108.55911451843443}",11.121207018622181,44.514519896640074,43.67859678134013,8.586190356698864,184.20501100327215,104.266019340085
eye,1580312726216,446,"{""x"":162.48114202036703,""y"":100.33003638972158}","{""x"":205.96516617540084,""y"":108.6153392791748}",10.78764392923963,44.26631451437476,43.48402415503381,8.28530288945322,184.22315409788393,104.4726878344482
eye,1580312726319,447,"{""x"":162.4003614303974,""y"":100.22827328418765}","{""x"":206.06768176392916,""y"":108.91690404761792}",11.253358184963927,44.523332867772865,43.66732033353176,8.688630763430268,184.2340215971633,104.57258866590279
eye,1580312726401,448,"{""x"":162.655571793148,""y"":100.08201273117291}","{""x"":206.10919856317673,""y"":108.31156835357936}",10.724069301277314,44.226047361382406,43.453626770028734,8.229555622406451,184.38238517816237,104.19679054237614
eye,1580312726484,449,"{""x"":162.4708179658174,""y"":100.30329284894358}","{""x"":206.094557708378,""y"":108.80750396343649}",11.03114931593846,44.44493532233484,43.623739742560616,8.504211114492904,184.28268783709768,104.55539840619004
eye,1580312726574,450,"{""x"":162.4255022100596,""y"":100.25854278247505}","{""x"":206.40407684224297,""y"":108.78768286436176}",10.975607424649317,44.79800505842833,43.97857463218338,8.529140081886709,184.41478952615128,104.5231128234184
eye,1580312726678,451,"{""x"":162.27085275165405,""y"":100.65224047018441}","{""x"":206.01918742069506,""y"":109.15982470526538}",11.00475687274019,44.567878296273136,43.748334669041014,8.50758423508097,184.14502008617455,104.9060325877249
eye,1580312726751,452,"{""x"":162.17180373141605,""y"":100.80507739149144}","{""x"":205.6641761754316,""y"":108.90771971682764}",10.553237986777942,44.24069702729935,43.49237244401556,8.102642325336205,183.91798995342384,104.85639855415954
eye,1580312726936,453,"{""x"":161.45437933924646,""y"":100.53952810813834}","{""x"":205.06807542483955,""y"":108.61421758272527}",10.489037142072007,44.35487680467034,43.61369608559309,8.074689474586933,183.261227382043,104.57687284543181
eye,1580312727106,454,"{""x"":162.13456860688746,""y"":100.82650619869062}","{""x"":205.74423957366264,""y"":108.07745918251285}",9.44017318363892,44.20836709271215,43.609670966775184,7.250952983822231,183.93940409027505,104.45198269060174
eye,1580312727198,455,"{""x"":162.2237068890464,""y"":104.36138130437018}","{""x"":206.99713993214004,""y"":108.54258963474533}",5.335145960678875,44.968242233451676,44.77343304309363,4.181208330375142,184.61042341059323,106.45198546955775
eye,1580312727284,456,"{""x"":162.98221210529613,""y"":104.972434024075}","{""x"":208.05517792418732,""y"":109.19193798144423}",5.348155217134895,45.27003933461057,45.07296581889119,4.219503957369227,185.51869501474172,107.08218600275961
eye,1580312727373,457,"{""x"":162.9721687744076,""y"":104.96207226490054}","{""x"":208.04402098811346,""y"":108.63935292863704}",4.664264315361076,45.221612698509894,45.07185221370585,3.6772806637364965,185.50809488126055,106.80071259676879
eye,1580312727461,458,"{""x"":162.93032254440052,""y"":104.9661691705268}","{""x"":207.95055310521,""y"":108.64846765535168}",4.67593251059996,45.17057097137235,45.020230560809466,3.6822984848248836,185.44043782480526,106.80731841293924
eye,1580312727551,459,"{""x"":162.0558035792866,""y"":105.12480318652416}","{""x"":206.3623916345817,""y"":108.4498273583477}",4.291763850446095,44.431177464082936,44.30658805529512,3.325024171823543,184.20909760693417,106.78731527243593
eye,1580312727641,460,"{""x"":160.78684551496534,""y"":104.6631105915375}","{""x"":203.84171273800317,""y"":108.44930386755516}",5.02559389923382,43.22102325393024,43.05486722303783,3.7861932760176558,182.31427912648425,106.55620722954633
eye,1580312727732,461,"{""x"":159.68702330858136,""y"":102.06864544333618}","{""x"":202.6371781111471,""y"":108.38664316352822}",8.368234512406582,43.41235875596618,42.95015480256575,6.317997720192039,181.16210070986423,105.2276443034322
eye,1580312727828,462,"{""x"":157.22019724888335,""y"":102.3947239884283}","{""x"":200.8318622416488,""y"":108.07066426715792}",7.415211162686595,43.97946818106044,43.61166499276544,5.675940278729627,179.02602974526607,105.23269412779311
eye,1580312727959,463,"{""x"":155.6922801269622,""y"":102.43463584152809}","{""x"":198.54318122269493,""y"":106.33504916227889}",5.2008962198514395,43.028048396237516,42.85090109573272,3.9004133207508005,177.11773067482858,104.38484250190349
eye,1580312728043,464,"{""x"":152.73450568592514,""y"":104.22457522383783}","{""x"":197.9867581252882,""y"":106.3582239122702}",2.6995030501404704,45.3025253993802,45.25225243936305,2.1336486884323733,175.36063190560668,105.29139956805402
eye,1580312728138,465,"{""x"":152.18522101835256,""y"":104.96417206897226}","{""x"":196.38336279112792,""y"":107.1861911626527}",2.878067122148046,44.253961461309096,44.19814177277536,2.2220190936804443,174.28429190474026,106.07518161581248
eye,1580312728234,466,"{""x"":151.05254582481498,""y"":105.2298566665423}","{""x"":194.80754700400357,""y"":107.37241370317136}",2.803370961613473,43.807427210987896,43.75500117918858,2.142557036629057,172.93004641440928,106.30113518485683
eye,1580312728319,467,"{""x"":149.65887010698856,""y"":105.58773502610202}","{""x"":193.88372445106506,""y"":107.0212265829658}",1.856518720116553,44.2480806340612,44.224854344076505,1.4334915568637712,171.7712972790268,106.30448080453391
eye,1580312728410,468,"{""x"":149.1816727336861,""y"":106.28553584067686}","{""x"":193.58241013143467,""y"":107.03474973005072}",0.9667118805122754,44.40705803040615,44.40073739774857,0.7492138893738627,171.38204143256038,106.66014278536379
eye,1580312728493,469,"{""x"":148.47104479792566,""y"":106.03639754343456}","{""x"":193.31052166347334,""y"":106.96581395089802}",1.1874360940487858,44.849108134214305,44.83947686554768,0.9294164074634637,170.8907832306995,106.50110574716629
eye,1580312728582,470,"{""x"":147.7793391490195,""y"":106.75549185099163}","{""x"":192.28064209205107,""y"":107.16201226435356}",0.5233836892649175,44.50315969090228,44.50130294303156,0.4065204133619318,170.02999062053527,106.9587520576726
eye,1580312728666,471,"{""x"":147.66937634145472,""y"":106.81779918048076}","{""x"":191.90783779415958,""y"":107.11276080983328}",0.3820161347220211,44.239444775734285,44.238461452704854,0.2949616293525139,169.78860706780716,106.96527999515702
eye,1580312728769,472,"{""x"":147.13707398802308,""y"":107.31344882953766}","{""x"":190.8329349370668,""y"":107.19818983445887}",-0.15113190379066352,43.69601296130015,43.69586094904372,-0.1152589950787899,168.98500446254494,107.25581933199827
eye,1580312728850,473,"{""x"":146.75796502147656,""y"":107.18690667308047}","{""x"":190.83960818112428,""y"":107.33638604953663}",0.19428732584921737,44.08189659870026,44.08164315964771,0.1494793764561564,168.79878660130043,107.26164636130855
eye,1580312728932,474,"{""x"":146.31759139753945,""y"":107.4932931056716}","{""x"":190.60718078924572,""y"":107.4270971960413}",-0.08563510004869888,44.28963886039705,44.28958939170627,-0.06619590963029509,168.46238609339258,107.46019515085645
eye,1580312729034,475,"{""x"":146.14834254944714,""y"":107.71714614053153}","{""x"":190.64674269197957,""y"":107.38092973748724}",-0.4329012788758836,44.49967029894274,44.49840014253243,-0.3362164030442898,168.39754262071335,107.54903793900938
